stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
14631,30001059,"Amsterdam, Purmerplein",52.390458,4.945692,0,stoparea:2716,null,null,null,null
1522981,30001006,"Amsterdam, Purmerweg",52.390027,4.948473,0,stoparea:2442,null,1,B2,null
15671,30001007,"Amsterdam, Purmerweg",52.389992,4.948708,0,stoparea:2442,null,0,A3,null
15186,30008288,"Amsterdam, R.J.H. Fortuynplein",52.372261,4.94671,0,stoparea:2297,null,0,null,null
1134042,30007106,"Amsterdam, Radboud",52.327763,4.866967,0,stoparea:232961,null,1,null,null
15054,30000059,"Amsterdam, Radioweg",52.353369,4.939456,0,stoparea:2779,null,1,null,null
14931,30000060,"Amsterdam, Radioweg",52.353631,4.939791,0,stoparea:2779,null,1,null,null
96480,30009528,"Amsterdam, Reigersbos",52.295585,4.973636,0,stoparea:30797,null,1,null,null
96481,30009529,"Amsterdam, Reigersbos",52.295661,4.974735,0,stoparea:30797,null,1,null,null
15626,30000201,"Amsterdam, Reigersbroeck",52.310552,5.000962,0,stoparea:2390,null,0,null,null
15699,30000202,"Amsterdam, Reigersbroeck",52.311331,4.999811,0,stoparea:2390,null,0,null,null
14795,30004028,"Amsterdam, Reimerswaalstraat",52.360981,4.794261,0,stoparea:2470,null,1,null,null
14796,30004029,"Amsterdam, Reimerswaalstraat",52.361159,4.795624,0,stoparea:2470,null,1,null,null
15542,30005046,"Amsterdam, Rembrandtplein",52.366257,4.896277,0,stoparea:2244,null,1,null,null
15541,30005047,"Amsterdam, Rembrandtplein",52.366233,4.897026,0,stoparea:2244,null,0,null,null
15627,30000206,"Amsterdam, Rhenenhof",52.29808,4.970036,0,stoparea:2479,null,1,null,null
15628,30000207,"Amsterdam, Rhenenhof",52.298379,4.970825,0,stoparea:2479,null,1,null,null
14648,30006081,"Amsterdam, Rhijnvis Feithstraat",52.359056,4.860391,0,stoparea:2787,null,0,null,null
14647,30006082,"Amsterdam, Rhijnvis Feithstraat",52.358837,4.859674,0,stoparea:2787,null,0,null,null
14629,30008238,"Amsterdam, Rietlandpark",52.373218,4.933499,0,stoparea:2715,null,0,null,null
14628,30008239,"Amsterdam, Rietlandpark",52.37296,4.934133,0,stoparea:2715,null,0,null,null
15175,30008260,"Amsterdam, Rietlandpark",52.372934,4.934442,0,stoparea:2715,null,0,null,null
15176,30008261,"Amsterdam, Rietlandpark",52.373007,4.934808,0,stoparea:2715,null,1,null,null
103915,30007323,"Amsterdam, Rijksmuseum",52.359768,4.883548,0,stoparea:32951,null,0,null,null
103914,30007324,"Amsterdam, Rijksmuseum",52.360172,4.883323,0,stoparea:32951,null,1,null,null
939762,57003050,"Amsterdam, Rijksmuseum",52.360145,4.883338,0,null,null,0,null,CXX:57003050
381813,57003090,"Amsterdam, Rijksmuseum",52.35992,4.883341,0,null,null,1,null,CXX:57003090
15564,30004133,"Amsterdam, Robert Fruinlaan",52.364036,4.829104,0,stoparea:2876,null,1,null,null
